transaction_id,customer_id,amount
1,87,7.13
2,51,857.91
3,40,618.67
4,62,337.49
5,30,1569.46
6,95,2351.49
7,56,1746.9
8,49,2121.99
9,37,2117.54
10,59,1944.4
11,13,2059.7
12,65,431.57
13,93,2457.92
14,59,1088.47
15,48,2006.45
16,79,2493.61
17,16,364.73
18,80,1541.82
19,42,1874.05
20,55,1962.41
21,92,231.84
22,19,1619.69
23,9,1680.07
24,74,1985.52
25,3,269.42
26,22,977.53
27,47,622.26
28,13,2011.55
29,80,316.08
30,2,1992.57
31,55,2410.42
32,67,1424.99
33,22,62.67
34,45,1141.37
35,55,1519.55
36,64,281.42
37,70,142.61
38,92,2000.47
39,52,2171.65
40,77,1743.95
41,94,1095.12
42,91,628.87
43,19,1698.09
44,50,1380.13
45,90,1413.18
46,60,1874.19
47,38,421.83
48,86,2403.97
49,6,1413.14
50,24,1441.02
51,100,2325.63
52,18,1521.93
53,43,2092.97
54,4,1370.07
55,37,2304.51
56,19,554.53
57,72,1443.54
58,82,1373.12
59,2,349.91
60,3,89.29
61,30,405.41
62,76,70.09
63,11,364.67
64,40,2032.66
65,85,617.25
66,9,806.67
67,56,228.2
68,14,1862.56
69,39,2023.76
70,53,733.35
71,34,661.95
72,74,1830.6
73,53,1129.57
74,85,1452.86
75,77,1330.91
76,93,2124.56
77,97,843.77
78,80,448.47
79,73,555.91
80,10,555.64
81,1,772.93
82,12,1951.4
83,84,1060.72
84,12,1845.33
85,52,129.83
86,70,754.27
87,76,2454.29
88,15,1460.81
89,43,2450.23
90,66,1911.49
91,72,480.32
92,19,1141.09
93,84,2292.87
94,94,133.62
95,2,120.75
96,4,949.71
97,48,2416.12
98,46,1937.16
99,43,2463.94
100,58,1183.09
101,71,2338.2
102,38,2113.67
103,92,2482.16
104,99,2287.63
105,8,869.29
106,98,873.4
107,13,898.01
108,8,930.61
109,57,1187.23
110,63,1210.36
111,32,879.9
112,84,1478.97
113,62,561.14
114,66,1618.43
115,65,1361.66
116,1,468.08
117,58,316.88
118,37,2363.16
119,18,1523.21
120,62,532.36
121,88,1585.64
122,99,1412.26
123,11,2240.8
124,64,1743.12
125,33,2022.85
126,53,1658.15
127,93,710.59
128,55,320.52
129,55,676.79
130,46,427.41
131,86,423.79
132,46,331.09
133,55,1381.79
134,92,2304.13
135,25,2432.23
136,90,756.09
137,19,1780.89
138,100,1074.19
139,66,1116.04
140,47,523.14
141,59,97.23
142,59,2180.43
143,38,1211.08
144,23,2241.53
145,3,1013.85
146,54,916.24
147,11,2038.61
148,38,1529.14
149,32,2087.72
150,41,486.89
151,49,1975.84
152,40,2226.64
153,92,1907.44
154,24,695.04
155,24,702.38
156,2,506.25
157,48,1039.69
158,94,2239.75
159,89,1888.46
160,32,1918.93
161,19,680.68
162,40,310.67
163,63,240.85
164,56,2236.89
165,24,2346.65
166,97,1564.67
167,40,2097.37
168,63,120.22
169,20,101.69
170,56,1632.77
171,71,278.75
172,53,1685.88
173,64,1048.49
174,47,738.05
175,43,380.73
176,55,2200.09
177,31,1246.46
178,80,1540.76
179,95,1529.29
180,13,1341.52
181,31,1255.15
182,20,901.84
183,98,1256.23
184,40,1867.35
185,15,781.76
186,2,2032.58
187,51,457.33
188,88,1976.4
189,73,2136.22
190,52,1245.24
191,82,2190.11
192,63,1301.31
193,41,190.24
194,23,931.95
195,77,702.48
196,48,948.71
197,42,2221.63
198,59,1228.74
199,2,873.88
200,13,1579.97
201,66,1281.62
202,7,267.95
203,76,59.99
204,67,928.35
205,46,1608.6
206,36,1803.63
207,82,390.71
208,89,438.69
209,46,609.37
210,2,1218.13
211,31,631.96
212,52,797.86
213,9,2388.67
214,9,165.11
215,67,1790.06
216,57,702.15
217,58,809.39
218,81,962.67
219,13,489.13
220,26,826.31
